Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2021-07-26 19:14:23,Withdraw USDT,USDT,-1800.0,,,CAD,2227.14,1760.04126044195328,crypto_withdrawal,0xee06451661b324be15ffecb513050d865973b306f1971c551e0fb9b908e5c4d9
2021-07-26 19:13:39,Buy USDT,USDT,1800.0,,,CAD,2304.27,1820.99476243010304,crypto_purchase,
2021-07-24 17:11:37,Withdraw USDT,USDT,-780.0,,,CAD,966.62,763.89049775425024,crypto_withdrawal,0x08487ef3cc51dd70760d3eed17c9893e6c27b7271b8364d261abc0d038eab998
2021-07-24 17:09:23,Buy USDT,USDT,780.0,,,CAD,999.25,789.676998076736,crypto_purchase,
2021-05-24 21:21:16,Withdraw USDT,USDT,-2300.0,,,CAD,2736.29,2162.40707837617408,crypto_withdrawal,0x75aae05126d223c22320c6705a45673eda64611674e1f0171c715cdf8875c25f
2021-05-24 21:18:54,Buy USDT,USDT,2300.0,,,CAD,2831.58,2237.71187812271616,crypto_purchase,
2021-05-21 14:43:56,Withdraw USDT,USDT,-2300.0,,,CAD,2743.46,2168.07331212769792,crypto_withdrawal,0xf2929282a3ebf68826806c2e9bbdd9b2b596bd323af6f6472fa348733721958c
2021-05-21 14:42:38,Buy USDT,USDT,2300.0,,,CAD,2840.78,2244.98235936595456,crypto_purchase,
2021-05-09 23:48:25,Withdraw USDT,USDT,-1300.0,,,CAD,1555.82,1229.51740520164864,crypto_withdrawal,0x09849d02bb18f9a55b8fd265a3b11b2c79f5fb0f384801942426177c2a27a81a
2021-05-09 23:46:36,Buy USDT,USDT,1300.0,,,CAD,1606.77,1269.78164643458304,crypto_purchase,
2021-04-06 23:54:39,Withdraw USDT (ERC20),USDT,-2230.233213,,,CAD,2765.37,2185.38812126241024,crypto_withdrawal,0x436c120cb6a48ed42f53bebda4124f9b30173eeef69b371b2df7ba670d128a99
2021-04-06 23:52:48,STORJ -> USDT,STORJ,-879.03,USDT,2230.233213,CAD,2803.92,2215.85301821097984,crypto_exchange,
2021-04-06 23:02:09,Withdraw USDT,USDT,-1361.404521,,,CAD,1688.9,1334.6864969244928,crypto_withdrawal,0xb77b5d1f3b738fb00b2cb6bfc65b33294d80abd534c05cd5540986ed9bfe5096
2021-04-06 23:01:32,XLM -> USDT,XLM,-2641.7,USDT,1361.404521,CAD,1709.68,1351.10830129780736,crypto_exchange,
2021-04-06 22:59:35,CRO -> XLM,CRO,-6716.40323877,XLM,2641.7,CAD,1714.89,1355.22560643664128,crypto_exchange,
2021-04-06 22:59:08,ONE -> CRO,ONE,-10000.0,CRO,6716.40323877,CAD,1762.41,1392.77922259736832,crypto_exchange,
2021-04-06 05:10:16,Withdraw XLM,XLM,-2937.5,,,CAD,1864.99,1473.84508845947648,crypto_withdrawal,170f365c6070c5082d7f5b077b0fc7b8da29fd1916de8df01f2a568d10deacac
2021-04-06 05:09:22,CRO -> XLM,CRO,-7033.61310041,XLM,2937.5,CAD,1862.26,1471.68765217751552,crypto_exchange,
2021-04-06 05:08:31,ONE -> CRO,ONE,-10000.0,CRO,7033.61310041,CAD,1922.45,1519.2539854417024,crypto_exchange,
2021-04-05 23:44:38,Withdraw XLM,XLM,-2481.5,,,CAD,1644.53,1299.62223031987456,crypto_withdrawal,4bc3aca7897edd157f9f3cb4ccbbf97a926f6057b77c7fc96d66e9156e95aab5
2021-04-05 23:44:05,CRO -> XLM,CRO,-6158.52615787,XLM,2481.5,CAD,1628.1,1286.6380991430912,crypto_exchange,
2021-04-05 23:43:32,SOL -> CRO,SOL,-60.13,CRO,6158.52615787,CAD,1698.31,1342.12293480480512,crypto_exchange,
2021-04-05 19:14:46,Withdraw XLM,XLM,-2801.0,,,CAD,1714.7,1355.0754551935744,crypto_withdrawal,6fe4c582fb4a579da655690cb879ffd10c80c36af00ee068f0f40776229e3251
2021-04-05 19:12:27,CRO -> XLM,CRO,-6485.11697,XLM,2801.0,CAD,1725.89,1363.91857314051328,crypto_exchange,
2021-04-05 19:11:57,SOL -> CRO,SOL,-60.0,CRO,6485.11697,CAD,1780.53,1407.09890956774656,crypto_exchange,
2021-04-04 21:15:36,Withdraw XLM,XLM,-6749.8,,,CAD,3552.51,2807.44101319748352,crypto_withdrawal,6d6fa44a276d564675da643e41f5565e7bd7bb369dcdd0d8ad54a8a17834307f
2021-04-04 21:14:45,CRO -> XLM,CRO,-13642.58694467,XLM,6749.8,CAD,3548.5,2804.272031699072,crypto_exchange,
2021-04-04 21:14:14,DOT -> CRO,DOT,-68.085,CRO,13642.58694467,CAD,3666.52,2897.53966173461504,crypto_exchange,
2021-04-04 06:25:04,Withdraw XLM,XLM,-2059.8,,,CAD,1049.57,829.44336939844864,crypto_withdrawal,3335d4686fba44aa6314b9121eb82706d08832156b54b5ed34e85f7603391e09
2021-04-04 06:23:03,CRO -> XLM,CRO,-4167.46959914,XLM,2059.8,CAD,1048.45,828.5582673340544,crypto_exchange,
2021-04-04 06:22:34,DOT -> CRO,DOT,-20.0,CRO,4167.46959914,CAD,1074.45,849.1052795432064,crypto_exchange,
